"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07755914668293962,"-",295789776,"USD"
"AAPL","APPLE INC","037833100","2046251",0.07436076861362821,"-",179367163,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04564273093122444,"-",90717261,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03743343683808919,"-",119543314,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.031444322402024695,"-",71606685,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.028271964440409997,"-",57827573,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.025275182343537116,"-",57717597,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02183953042405582,"-",26817242,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.016915085363961795,"-",13774124,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.0164824112801876,"-",34386681,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014366232237622407,"-",9662334,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014292701488494828,"-",32729111,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013869804899177222,"-",22393049,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.01371638802952528,"-",19917108,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.009712364371061622,"-",50610329,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009321543949782709,"-",29404771,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009121185129704001,"-",20265139,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007698120696723903,"-",57712048,"USD"
"WMT","WALMART INC","931142103","2936921",0.00747436572919551,"-",53527038,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006992025964395933,"-",21583510,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006923264238074727,"-",9694757,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.006842849334686898,"-",48222539,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006707870026010231,"-",9851194,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006366196479928396,"-",5416145,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.006334479485155454,"-",5626836,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.006222626943979157,"-",15277282,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00617211321496519,"-",79701971,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.0061190952501261175,"-",11086157,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005523386434805958,"-",22852898,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005489175181243071,"-",12736885,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.00532528242467336,"-",28426009,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005100000970765521,"-",12158630,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004945037660663815,"-",3601178,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004901058889679503,"-",47267584,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004816932529212235,"-",30160140,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.00470317437432042,"-",28027201,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.00452701984153934,"-",19032284,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004476356456997976,"-",3280257,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.004464942728775187,"-",51401693,"USD"
"KLAC","KLA CORP","482480100","2480138",0.004391970693616554,"-",15959136,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.004286214120922884,"-",9903438,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004147483447026139,"-",37369334,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.004096171555199388,"-",11116463,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.004028756728624754,"-",16445112,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0040070367230819115,"-",14638422,"USD"
"SNDK","SANDISK CORP","80004C200","BSNPZV3",0.003634574046496995,"-",1807795,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0036068079576473265,"-",5645918,"USD"
"C","CITIGROUP INC","172967424","2297907",0.0034997643474180434,"-",20827566,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0033288677121661673,"-",20713331,"USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS","G7997R103","BKVD2N4",0.0030889399706437717,"-",2738144,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0030561354790384137,"-",11477538,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0030512467318101217,"-",6586280,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.003007537340775124,"-",12438418,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.0030056417040947663,"-",4539234,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.0029998849548075724,"-",15027896,"USD"
"-","US DOLLAR","999USDZ92","-",0.002940202330481767,"-",2324370581.02,"USD"
"WDC","WESTERN DIGITAL CORP","958102105","2954699",0.0029197494084042173,"-",4209054,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.002897430780751789,"-",8679332,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.0028878228958929206,"-",5963692,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.002884650198712111,"-",6500912,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.00285106749836429,"-",16695613,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.002833318352815041,"-",25473438,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.002825695897952969,"-",12875220,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.002824698194436991,"-",51006343,"USD"
"MRVL","MARVELL TECHNOLOGY INC","573874104","BNKJSM5",0.002812566119682698,"-",10691834,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.002785318836661338,"-",12612704,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.002689160171791376,"-",7252448,"USD"
"WELL","WELLTOWER INC","95040Q104","BYVYHH4",0.0026873144202868163,"-",8623009,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.0026824955123046427,"-",21276620,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.002649341824468693,"-",13508105,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0025796223027721482,"-",21211937,"USD"
"SCHW","SCHWAB (CHARLES) CORP","808513105","2779397",0.002524998035272351,"-",19969309,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.002499406940087515,"-",15166563,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.0024946478943163,"-",9629588,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.002417665091023435,"-",4743225,"USD"
"T","AT+T INC","00206R102","2831811",0.0023899488873495656,"-",84877305,"USD"
"BLK","BLACKROCK INC","09290D101","BMZBBT7",0.0023163882071165053,"-",1763772,"USD"
"DE","DEERE + CO","244199105","2261203",0.002278216070595186,"-",3068845,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0022505397750619558,"-",24865962,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.002211918671958446,"-",14881944,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0021958057601754013,"-",69602536,"USD"
"CVS","CVS HEALTH CORP","126650100","2577609",0.0021805209423106176,"-",15585940,"USD"
"PLD","PROLOGIS INC","74340W103","B44WZD7",0.002159000477470972,"-",11383158,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.0021496120873856187,"-",9992786,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.0021479958076897343,"-",9465422,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.0020205790916641804,"-",3703945,"USD"
"COF","CAPITAL ONE FINANCIAL CORP","14040H105","2654461",0.0019829956002172877,"-",7601856,"USD"
"CB","CHUBB LTD","H1467J104","B3BQMF6",0.0019775082308794087,"-",4406179,"USD"
"GLW","CORNING INC","219350105","2224701",0.0019654360183360745,"-",9566951,"USD"
"BMY","BRISTOL MYERS SQUIBB CO","110122108","2126335",0.0019225447441841793,"-",24944438,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.0019156007277129723,"-",4326055,"USD"
"VRTX","VERTEX PHARMACEUTICALS INC","92532F100","2931034",0.0018902490813719705,"-",3100284,"USD"
"MO","ALTRIA GROUP INC","02209S103","2692632",0.0018833749041468819,"-",20398642,"USD"
"PH","PARKER HANNIFIN CORP","701094104","2671501",0.001869436986028669,"-",1540131,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.0018591506627789354,"-",7138183,"USD"
"SBUX","STARBUCKS CORP","855244109","2842255",0.0018394260642680498,"-",13922049,"USD"
"DELL","DELL TECHNOLOGIES  C","24703L202","BHKD3S6",0.0018066415267330117,"-",3533939,"USD"
"VRT","VERTIV HOLDINGS CO A","92537N108","BL3LWS8",0.0018062224912563012,"-",4689337,"USD"
"APP","APPLOVIN CORP CLASS A","03831W108","BMV3LG4",0.00178220776762671,"-",3286573,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.0017504508647131292,"-",6841753,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.0017423694662337071,"-",7694703,"USD"
"HWM","HOWMET AEROSPACE INC","443201108","BKLJ8V2",0.0017249096547040917,"-",4887542,"USD"
"BNY","BANK OF NEW YORK MELLON CORP","064058100","B1Z77F6",0.0016851910777330066,"-",8384580,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.001677129633323904,"-",4214673,"USD"
"SO","SOUTHERN CO/THE","842587107","2829601",0.0016347372109299977,"-",13770233,"USD"
"MDT","MEDTRONIC PLC","G5960L103","BTN1Y11",0.0016336896222382208,"-",15683203,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.0016264462947122203,"-",12598315,"USD"
"TT","TRANE TECHNOLOGIES PLC","G8994E103","BK9ZQ96",0.0016049557609780537,"-",2700189,"USD"
"LMT","LOCKHEED MARTIN CORP","539830109","2522096",0.0015874360872374794,"-",2474805,"USD"
"EQIX","EQUINIX INC","29444U700","BVLZX12",0.001564878010741216,"-",1203558,"USD"
"PNC","PNC FINANCIAL SERVICES GROUP","693475105","2692665",0.0015536538461864635,"-",4905506,"USD"
"MCK","MCKESSON CORP","58155Q103","2378534",0.0015397458591737297,"-",1468613,"USD"
"USB","US BANCORP","902973304","2736035",0.0015281625213532247,"-",18962222,"USD"
"NEM","NEWMONT CORP","651639106","2636607",0.001525748078844558,"-",13041135,"USD"
"FTNT","FORTINET INC","34959E109","B5B2106",0.0015213581833742548,"-",7607240,"USD"
"ADP","AUTOMATIC DATA PROCESSING","053015103","2065308",0.0015208792856865852,"-",4883149,"USD"
"DUK","DUKE ENERGY CORP","26441C204","B7VD3F2",0.0015167687472007556,"-",9523301,"USD"
"PWR","QUANTA SERVICES INC","74762E102","2150204",0.0014821284811259985,"-",1833068,"USD"
"CDNS","CADENCE DESIGN SYS INC","127387108","2302232",0.0014688690013986505,"-",3369340,"USD"
"VLO","VALERO ENERGY CORP","91913Y100","2041364",0.0014443155178704315,"-",3627080,"USD"
"MPC","MARATHON PETROLEUM CORP","56585A102","B3K3L40",0.0014423500419439546,"-",3565954,"USD"
"GD","GENERAL DYNAMICS CORP","369550108","2365161",0.001442200386416558,"-",3100463,"USD"
"CSX","CSX CORP","126408103","2160753",0.001432442846030293,"-",22698284,"USD"
"BX","BLACKSTONE INC","09260D107","BKF2SL7",0.0014251396562933337,"-",9074862,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.0014187044686152753,"-",4937299,"USD"
"CMI","CUMMINS INC","231021106","2240202",0.0014082186046623464,"-",1685610,"USD"
"FCX","FREEPORT MCMORAN INC","35671D857","2352118",0.0013896313881596757,"-",17560336,"USD"
"WMB","WILLIAMS COS INC","969457100","2967181",0.0013839544551537608,"-",14913889,"USD"
"MMM","3M CO","88579Y101","2595708",0.0013761424366236527,"-",6370975,"USD"
"TMUS","T MOBILE US INC","872590104","B94Q9V0",0.0013717824722588288,"-",5684667,"USD"
"MRSH","MARSH + MCLENNAN COS","571748102","2567741",0.0013518284019392683,"-",5885171,"USD"
"UPS","UNITED PARCEL SERVICE CL B","911312106","2517382",0.0013421506778342814,"-",9120123,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.0013362941581954904,"-",7499684,"USD"
"JCI","JOHNSON CONTROLS INTERNATION","G51502105","BY7QL61",0.0013360347552813362,"-",7453244,"USD"
"WM","WASTE MANAGEMENT INC","94106L109","2937667",0.0013311360310178841,"-",4512946,"USD"
"CME","CME GROUP INC","12572Q105","2965839",0.0013291106928804486,"-",4426350,"USD"
"ELV","ELEVANCE HEALTH INC","036752103","BSPHGL4",0.0013202610626937236,"-",2652840,"USD"
"PSX","PHILLIPS 66","718546104","B78C4Y8",0.0013149931881293595,"-",4897366,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.0013107828792919322,"-",43521067,"USD"
"DDOG","DATADOG INC   CLASS A","23804L103","BKT9Y49",0.0013025318712147939,"-",4041436,"USD"
"HOOD","ROBINHOOD MARKETS INC   A","770700102","BP0TQN6",0.001300945522624389,"-",9669582,"USD"
"CEG","CONSTELLATION ENERGY","21037T109","BMH4FS1",0.001295208727407515,"-",3904838,"USD"
